Area_Id,Area,Latitude,Longitude
7469,Pammal-MTC Bus Stand,12.9743,80.1352
7467,Pammal-SHANKAR NAGAR (Meenakshi poly technic),12.9661,80.1271
7470,Panaiyur-Mayajaal,12.848677,80.240862
7856,Pappanchatram-Bus stop,13.0328,80.0374
7745,Paraniputhur- Murugan Kovil Bus stop,13.020406,80.133291
7471,Paraniputhur-Bus Stop,13.021,80.1269
7473,Patalam-Bus Stop,13.097,80.2592
7746,Patalam-Mahalakshmi theatre,13.097553,80.256589
7861,Pattabiram -Railway Station,13.1185,80.0653
7474,Pattabiram-Bhavani amman koil,13.1232,80.0684
7475,Pattabiram-Bus stop,13.121,80.0648
7803,Pattabiram-Hindu College,13.1192,80.0739
7476,Pattabiram-Sekkadu Bus Stop,13.1193,80.0796
7877,Pattabiram-Thandurai Govt Elementary School,13.1096,80.061
7478,Pattalam-Bhuvaneshwari Theatre,13.0916,80.2587
7833,Pattalam-Vasanthi Theatre Bus Stop,13.0932,80.2588
7852,Pattaravakkam-Railway Station,13.1149,80.1664
7479,Pattravakkam-Bus stop,13.1093,80.1675
7747,Pattur-Bus Stop,13.0231,80.1185
7480,Pazhavanthangal-Railway Station,12.99,80.187
7482,Perambur-B&C Mill,13.103403,80.258359
7486,Perambur-Bus Terminus,13.108325,80.248253
7484,Perambur-Jamalia,13.1062,80.2503
7485,Perambur-Railway Station,13.108134,80.244588
7483,Perambur-Ramana Nagar Bus Stop,13.124514,80.241957
7748,Perambur-Sri Brindha theatre,13.1192,80.2426
7481,Perambur-Venus,13.1124,80.2364
7487,Peravallur-Near Don Bosco School,13.1217,80.2409
7488,Periamet-Everest Hotel,13.0808,80.2669
7749,Periamet-Masjid,13.0845,80.2702
7750,Periyapannicherry-Bus Stop,13.012533,80.131915
7489,Periyar Nagar-Bus Depot,13.1165,80.2241
7751,Periyar Nagar-EB Office,13.117945,80.219586
7490,Periyar Nagar-State Bank,13.1137,80.2264
14223,Perumbakkam Global Hospital - Bus Stop,12.905428,80.207956
7491,Perumbakkam-MTC Bus Stop,12.90759,80.199679
7870,Perumbakkam-Nookampalayam Village Bus stop,12.890865,80.197859
7492,Perungudi-CTS Office,12.9635,80.2445
7494,Perungudi-MTC Bus Stop,12.9595,80.2449
7493,Perungudi-Toll Gate,12.9566,80.2434
7495,Pondy Bazaar-Bus Stand,13.0407,80.2384
7752,Ponmar-Bus stop,12.856863,80.171889
7497,Ponniammanmedu-Bus stop,13.1390819,80.2275131
7496,Ponniammanmedu-RTO Office signal,13.1358,80.2165
7499,Poonamallee-Court,13.05096,80.0941627
7498,Poonamallee-GH Hospital,13.0505,80.0993
7753,Poonamallee-Kalarai Bus Stop,13.049146,80.105746
7757,Porur -Signal Kumar Sweets,13.0348,80.1562
7304,Porur Kolapakkam-MTC Bus Stop,13.0101,80.1491
7503,Porur-Cognizant DLF,13.0233,80.1754
7502,Porur-Lakshmi Nagar Bus Stop,13.0383,80.1651
7755,Porur-Samayapuram Bus Stop,13.0407,80.1508
7501,Porur-Shakthi Nagar (ICICI Bank),13.0315,80.1645
7756,Porur-Toll gate,13.044022,80.149335
